name;info
The Haunting of Hill House;['The Haunting of Hill House', 'Netflix', 'Drama` Horror` Mystery', 'Flashing between past and present` a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.', '2', 'https://m.media-amazon.com/images/M/MV5BMTU4NzA4MDEwNF5BMl5BanBnXkFtZTgwMTQxODYzNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Crown;['The Crown', 'Netflix', 'Drama` History', 'Follows the political rivalries and romance of Queen Elizabeth II^s reign and the events that shaped the second half of the twentieth century.', '4', 'https://m.media-amazon.com/images/M/MV5BNGI1ODkzZDQtZTYxYS00MTg1LWFlY2QtMTM5MGNhNWRhYmVmXkEyXkFqcGdeQXVyNjU2ODM5MjU@._V1_UY268_CR16`0`182`268_AL_.jpg']
Stranger Things;['Stranger Things', 'Netflix', 'Drama` Fantasy` Horror', 'When a young boy disappears` his mother` a police chief` and his friends must confront terrifying supernatural forces in order to get him back.', '4', 'https://m.media-amazon.com/images/M/MV5BZGExYjQzNTQtNGNhMi00YmY1LTlhY2MtMTRjODg3MjU4YTAyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']
Ozark;['Ozark', 'Netflix', 'Crime` Drama` Thriller', 'A financial adviser drags his family from Chicago to the Missouri Ozarks` where he must launder $500 million in five years to appease a drug boss.', '3', 'https://m.media-amazon.com/images/M/MV5BODIyNzk5NDg5M15BMl5BanBnXkFtZTgwMTE5NjA5MjI@._V1_UX182_CR0`0`182`268_AL_.jpg']
Gypsy;['Gypsy', 'Netflix', 'Drama` Thriller', 'Therapist Jean Holloway becomes too immersed in the lives of her patients.', '1', 'https://m.media-amazon.com/images/M/MV5BMTEzMTA1MTMyMjReQTJeQWpwZ15BbWU4MDY3MzUyMzIy._V1_UX182_CR0`0`182`268_AL_.jpg']
Jessica Jones;['Jessica Jones', 'Netflix', 'Action` Crime` Drama', 'Following the tragic end of her brief superhero career` Jessica Jones tries to rebuild her life as a private investigator` dealing with cases involving people with remarkable abilities in New York City.', '3', 'https://m.media-amazon.com/images/M/MV5BM2QyNmZkNTYtZWQyZi00NDhhLWEzMDItYmIzY2U4ZWVmOWNhXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0`0`182`268_AL_.jpg']
The Innocents;['The Innocents', 'Netflix', 'Drama` Horror` Mystery', 'When teenagers Harry and June run away from their repressive families to be together` they^re derailed by an extraordinary discovery - June^s ability to shape-shift. A scientist tries to capture her and discover the key to her power.', '1', 'https://m.media-amazon.com/images/M/MV5BMjEwNjM1MzE0N15BMl5BanBnXkFtZTgwMzU1MjgwNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Sense8;['Sense8', 'Netflix', 'Drama` Mystery` Sci-Fi', 'A group of people around the world are suddenly linked mentally` and must find a way to survive being hunted by those who see them as a threat to the world^s order.', '2', 'https://m.media-amazon.com/images/M/MV5BMjA4MTEyMzcwMl5BMl5BanBnXkFtZTgwMTIwODczNTM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Mindhunter;['Mindhunter', 'Netflix', 'Crime` Drama` Thriller', 'Set in the late 1970s` two FBI agents are tasked with interviewing serial killers to solve open cases.', '2', 'https://m.media-amazon.com/images/M/MV5BNWNmYzQ1ZWUtYTQ3ZS00Y2UwLTlkMDctZThlOTJkMGJiNzBiXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX182_CR0`0`182`268_AL_.jpg']
Daredevil;['Daredevil', 'Netflix', 'Action` Crime` Drama', 'A blind lawyer by day` vigilante by night. Matt Murdock fights the crime of New York as Daredevil.', '3', 'https://m.media-amazon.com/images/M/MV5BODcwOTg2MDE3NF5BMl5BanBnXkFtZTgwNTUyNTY1NjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Narcos;['Narcos', 'Netflix', 'Biography` Crime` Drama', 'A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar` as well as the many other drug kingpins who plagued the country through the years.', '3', 'https://m.media-amazon.com/images/M/MV5BNmFjODU3YzgtMGUwNC00ZGI3LWFkZjQtMjkxZDc3NmQ1MzcyXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0`0`182`268_AL_.jpg']
House of Cards;['House of Cards', 'Netflix', 'Drama', 'A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.', '6', 'https://m.media-amazon.com/images/M/MV5BODM1MDU2NjY5NF5BMl5BanBnXkFtZTgwMDkxNTcwNjM@._V1_UX182_CR0`0`182`268_AL_.jpg']
Chilling Adventures of Sabrina;['Chilling Adventures of Sabrina', 'Netflix', 'Drama` Fantasy` Horror', 'As her 16th birthday nears` Sabrina must choose between the witch world of her family and the human world of her friends. Based on the Archie comic.', '4', 'https://m.media-amazon.com/images/M/MV5BMTg3MjY1MDUxMV5BMl5BanBnXkFtZTgwMzczNTU2NzM@._V1_UX182_CR0`0`182`268_AL_.jpg']
BoJack Horseman;"['BoJack Horseman', 'Netflix', 'Animation` Comedy` Drama', 'BoJack Horseman was the star of the hit television show ""Horsin^ Around"" in the ^80s and ^90s` now he^s washed up` living in Hollywood` complaining about everything` and wearing colorful sweaters.', '6', 'https://m.media-amazon.com/images/M/MV5BYWQwMDNkM2MtODU4OS00OTY3LTgwOTItNjE2Yzc0MzRkMDllXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0`0`182`268_AL_.jpg']"
