name;recs
The Haunting of Hill House;['Stranger Things', 'John Adams', 'Fortitude', 'The Innocents', 'House of Cards', 'The OA']
The Crown;['Veep', 'The OA', 'Big Love', 'Anne', 'Fearless', 'Informer']
Stranger Things;['The Haunting of Hill House', 'Chilling Adventures of Sabrina', 'Togetherness', 'Homecoming', 'Taboo', 'White Dragon']
Ozark;['White Dragon', 'Brockmire', 'Togetherness', 'Oz', 'Forever', 'The Wire']
Gypsy;['Twin Peaks', 'Homecoming', 'Ozark', 'Taboo', 'Bloodline', 'The Man in the High Castle']
Jessica Jones;['Daredevil', 'Prison Break', 'Vikings', 'Legion', 'Mirzapur', 'The Haunting of Hill House']
The Innocents;['Fortitude', 'The Haunting of Hill House', 'Archer', 'The Leftovers', 'True Blood', 'The OA']
Sense8;['Taboo', 'Informer', '3%', 'Firefly', 'Altered Carbon', 'True Blood']
Mindhunter;['The Shield', 'Oz', 'Tin Star', 'The Wire', 'Informer', 'White Dragon']
Daredevil;['Jessica Jones', 'Prison Break', 'The Punisher', 'Mirzapur', 'Alias Grace', 'Fearless']
Narcos;['Alias Grace', 'Mad Dogs', 'Mirzapur', 'Absentia', 'Orange Is the New Black', 'Prison Break']
House of Cards;['White Dragon', 'Forever', 'Six Feet Under', 'Brockmire', 'Mirzapur', 'The Haunting of Hill House']
Chilling Adventures of Sabrina;['Young Justice', 'Lucifer', 'Legion', 'The OA', 'Anne', 'Stranger Things']
BoJack Horseman;"['South Park', 'Rick and Morty', 'The Simpsons', 'Brooklyn Nine-Nine', 'Futurama', ""It's Always Sunny in Philadelphia""]"
The Punisher;['Homecoming', 'Daredevil', 'The Pacific', 'Game of Thrones', 'Legion', 'Line of Duty']
Altered Carbon;['3%', 'True Detective', 'Absentia', 'Legion', 'Firefly', 'The Shield']
Anne;['Forever', 'The OA', 'Chilling Adventures of Sabrina', 'Deadwood', 'The Crown', 'John Adams']
3%;['Altered Carbon', 'Legion', 'Firefly', 'Electric Dreams', 'Line of Duty', 'Togetherness']
Bloodline;['The Man in the High Castle', 'Fortitude', 'The Shield', 'Mindhunter', 'Bosch', 'The Wire']
The OA;['The Leftovers', 'True Blood', 'The Crown', 'Chilling Adventures of Sabrina', 'Anne', 'Fearless']
The End of the F***ing World;['Futurama', 'Getting On', 'Brooklyn Nine-Nine', 'Absentia', 'Jean-Claude Van Johnson', 'Modern Family']
Godless;['Line of Duty', 'Togetherness', '3%', 'Twin Peaks', 'Absentia', 'Fearless']
Alias Grace;['Narcos', 'Oz', 'Mad Dogs', 'Orange Is the New Black', 'Prison Break', 'Daredevil']
Castlevania;['Young Justice', 'Getting On', 'Lore', 'Archer', 'The Haunting of Hill House', '3%']
Orange Is the New Black;['Prison Break', 'Mad Dogs', 'Mirzapur', 'Alias Grace', 'Narcos', 'Oz']
Rick and Morty;"['South Park', 'The Simpsons', 'BoJack Horseman', 'Curb Your Enthusiasm', ""It's Always Sunny in Philadelphia"", 'The Pacific']"
Firefly;['3%', 'Altered Carbon', 'Legion', 'Line of Duty', 'Togetherness', 'Twin Peaks']
Fargo;['White Dragon', 'The Shield', 'Brockmire', 'Mirzapur', 'Absentia', 'The Last Post']
It's Always Sunny in Philadelphia;['The Simpsons', 'South Park', 'Letterkenny', 'BoJack Horseman', 'Alpha House', 'Entourage']
Twin Peaks;['Line of Duty', 'Absentia', 'Fearless', 'Homeland', 'True Detective', 'Togetherness']
South Park;"['The Simpsons', 'Rick and Morty', 'BoJack Horseman', ""It's Always Sunny in Philadelphia"", 'Curb Your Enthusiasm', 'Alpha House']"
Letterkenny;"[""It's Always Sunny in Philadelphia"", 'Boardwalk Empire', 'BoJack Horseman', 'In Treatment', 'Godless', 'The Haunting of Hill House']"
The Simpsons;"['South Park', 'Rick and Morty', 'BoJack Horseman', ""It's Always Sunny in Philadelphia"", 'Curb Your Enthusiasm', 'Alpha House']"
The Shield;['Fargo', 'Mindhunter', 'The Wire', 'Absentia', 'Mad Dogs', 'Oz']
Young Justice;['Chilling Adventures of Sabrina', 'Lucifer', 'Legion', 'Castlevania', 'Rick and Morty', 'Archer']
Vikings;['Game of Thrones', 'Big Love', 'The Pacific', 'Veep', 'Jessica Jones', 'Modern Family']
Line of Duty;['The Wire', 'Twin Peaks', 'Absentia', 'Fearless', 'True Detective', 'Rome']
